Experience Title / Role,Organisation,Dates,Key Selection Criteria / Capability,Situation/Context,Actions Taken,Results/Achievements,Skills Demonstrated,Tags/Keywords
Community Support Worker,Diamond Valley Community Support,2022–2023,"Understanding drivers of incarceration/post-release; intersectionality; advocacy","Supported clients facing homelessness, AOD issues, post-release barriers, discrimination","Conducted needs assessments; developed support plans; advocated for clients; liaised with legal/housing services","Helped clients secure housing, employment, and mental health support; reduced recidivism risk","Case management, advocacy, trauma-informed practice, intersectional analysis","incarceration, post-release, advocacy, intersectionality, homelessness, AOD, support plans"
Community Support Worker,Diamond Valley Community Support,2022–2023,"Complex service systems (family violence, homelessness, AOD, MH); solutions","Supported LGBTQIA+ client ('Alex') experiencing family violence, homelessness, AOD dependency","Identified lack of queer-specific support; researched Queerspace housing; advocated for priority access","Client escaped violence and secured safe, inclusive accommodation","Crisis intervention, advocacy, resourcefulness, LGBTQIA+ support","family violence, homelessness, AOD, LGBTQIA+, advocacy, crisis response"
Peer Support Facilitator,Thorne Harbour Health,2021–2023,"Peer support, rapport, empathy, harm reduction, confidentiality","Facilitated SMART Recovery and peer support groups for LGBTQIA+ clients with AOD/mental health issues","Created safe spaces; adapted communication; educated on harm reduction; maintained confidentiality","Fostered client engagement and trust; improved group cohesion; supported recovery and wellness","Group facilitation, peer support, harm reduction, communication, confidentiality","LGBTQIA+, peer support, AOD, group facilitation, harm reduction, confidentiality, empathy, rapport"
Project Analyst / Change Analyst,NAB/RBS/Coutts & Co/ITN,2013–2021,"Project management, communication, stakeholder engagement, documentation","Led/analysed major change projects in finance and community sectors","Developed/delivered training; managed projects; facilitated communication; created documentation guides","Implemented new processes; improved compliance; delivered training to 300+ staff; managed projects on time","Project management, training, documentation, stakeholder engagement, communication, IT skills","Project management, training, documentation, compliance, MS Office, stakeholder engagement"
Client Care & Support Worker,Positive Living Centre/Thorne Harbour,2023–2024,"Intake/assessment, care planning, LGBTIQ+ affirmative, harm reduction","Supported people living with HIV, substance use, and complex needs","Conducted intake/assessment; developed care plans; provided harm reduction info; maintained confidentiality","Improved client outcomes; strengthened sector partnerships; contributed to sector knowledge","Intake, assessment, care planning, harm reduction, sector development, confidentiality","HIV, LGBTIQ+, harm reduction, care planning, sector development, confidentiality, outreach"
Peer Test Facilitator,PRONTO/Thorne Harbour Health,2023–2024,"Sensitivity to HIV/STI issues, peer education, intersectionality, IT skills","Supported diverse clients through HIV/STI testing and peer education","Provided culturally sensitive support; researched/referrals to services; facilitated risk assessments","Increased client engagement; supported clients through diagnosis/treatment; high client satisfaction","Sensitivity, peer education, cultural competence, IT skills, confidentiality, intersectionality","HIV, STI, peer education, intersectionality, IT skills, confidentiality, cultural competence"
TGD Peer Navigator,Transgender Victoria/Thorne Harbour,2023–2024,"Lived experience, rapport, peer support, TGD issues/resources, teamwork","Supported TGD people through peer navigation and outreach","Built rapport; provided strengths-based support; connected peers to resources; participated in outreach","Empowered TGD clients; improved access to services; strengthened community connections","Peer support, rapport, TGD advocacy, resource navigation, teamwork","TGD, peer navigation, outreach, lived experience, empowerment, community support"
Home Care Support Worker,Positive Living Centre,2024,"Client support, disability/NDIS, LGBTIQ+ framework, aged care navigation","Supported clients with disabilities and older adults in home/community settings","Conducted assessments; supported NDIS applications; advocated for clients; provided LGBTIQ+ affirmative support","Improved access to NDIS and home care; increased client independence and wellbeing","Client support, NDIS advocacy, LGBTIQ+ affirmative practice, aged care navigation","disability, NDIS, aged care, LGBTIQ+, advocacy, client support"
IAP Worker,Launch Housing,2024,"Housing/homelessness, collaboration, crisis response, values alignment","Supported clients experiencing homelessness, poverty, social isolation, and health challenges","Conducted housing assessments; created plans; collaborated with stakeholders; delivered emergency relief","Secured housing for clients; improved service delivery; strengthened partnerships","Housing assessment, crisis response, collaboration, values-driven practice","homelessness, housing, crisis response, collaboration, social justice"
Peer Support Worker,Thorne Harbour Health,2022–2024,"Lived experience, mental health, rapport, empathy, peer support, advocacy","Provided peer support to LGBTIQ+ individuals facing mental health and substance use challenges","Facilitated groups; provided non-judgmental support; advocated for rights and wellbeing; collaborated with orgs","Reduced isolation; improved mental health outcomes; empowered clients","Peer support, empathy, group facilitation, advocacy, mental health","LGBTIQ+, mental health, peer support, advocacy, group facilitation"
